?R?Start
  output_wert -->  0 = 0.22200    -  1 = 0.19670    -  2 = 0.17694    -  3 = 0.21762    -  4 = 0.26040    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  1

  output_wert -->  0 = 0.20281    -  1 = 0.20278    -  2 = 0.23968    -  3 = 0.20150    -  4 = 0.21507    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  2

  output_wert -->  0 = 0.19947    -  1 = 0.20428    -  2 = 0.25201    -  3 = 0.19874    -  4 = 0.20771    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  3

  output_wert -->  0 = 0.21193    -  1 = 0.20000    -  2 = 0.20765    -  3 = 0.20893    -  4 = 0.23600    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  4

  output_wert -->  0 = 0.23736    -  1 = 0.19254    -  2 = 0.14007    -  3 = 0.23010    -  4 = 0.29656    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  5

  output_wert -->  0 = 0.21673    -  1 = 0.19827    -  2 = 0.19193    -  3 = 0.21331    -  4 = 0.24801    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  6

  output_wert -->  0 = 0.20058    -  1 = 0.20356    -  2 = 0.24810    -  3 = 0.19967    -  4 = 0.21012    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  7

  output_wert -->  0 = 0.17126    -  1 = 0.21663    -  2 = 0.39263    -  3 = 0.17558    -  4 = 0.14816    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  8

  output_wert -->  0 = 0.21192    -  1 = 0.20000    -  2 = 0.20773    -  3 = 0.20892    -  4 = 0.23599    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  9

  output_wert -->  0 = 0.22612    -  1 = 0.19563    -  2 = 0.16645    -  3 = 0.22096    -  4 = 0.26944    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  10

  output_wert -->  0 = 0.20930    -  1 = 0.20059    -  2 = 0.21548    -  3 = 0.20722    -  4 = 0.23077    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  11

  output_wert -->  0 = 0.18882    -  1 = 0.20798    -  2 = 0.29828    -  3 = 0.19002    -  4 = 0.18446    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  12

  output_wert -->  0 = 0.18875    -  1 = 0.20837    -  2 = 0.29802    -  3 = 0.18994    -  4 = 0.18439    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  13

  output_wert -->  0 = 0.20949    -  1 = 0.20079    -  2 = 0.21570    -  3 = 0.20693    -  4 = 0.23042    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  14

